ID,Protein name
2060,integral membrane transport protein
2061,ABC transport ATP-binding subunit
2062,hypothetical protein SCO2062
2063,small hydrophilic protein
2064,DNA polymerase III subunit alpha
2065,hypothetical protein SCO2065
2066,hypothetical protein SCO2066
2067,hypothetical protein SCO2067
2068,"alkaline phosphatase, partial"
2069,hypothetical protein SCO2069
2070,hypothetical protein SCO2070
2071,Na+/H+ antiporter
2072,hypothetical protein SCO2072
2073,ribosomal large subunit pseudouridine synthase
2074,lipoprotein signal peptidase
2075,DNA-binding protein
2076,isoleucyl-tRNA synthetase
2077,hypothetical protein SCO2077
2078,hypothetical protein SCO2078
2079,hypothetical protein SCO2079
2080,hypothetical protein SCO2080
2081,hypothetical protein SCO2081
2082,cell division protein FtsZ
2083,sporulation protein
2084,UDPdiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase
2085,cell division protein
2086,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase
2087,phospho-N-acetylmuramoyl-pentapeptide-transferase
2088,"UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate- D-alanyl-alanyl ligase"
2089,"UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase"
2090,cell division protein
2091,hypothetical protein SCO2091
2092,S-adenosyl-methyltransferase MraW
2093,hypothetical protein SCO2093
2094,regulatory protein
2095,hypothetical protein SCO2095
2096,hypothetical protein SCO2096
2097,hypothetical protein SCO2097
2098,methyltransferase
2099,hypothetical protein SCO2099
2100,transcriptional regulator
2101,carotenoid dehydrogenase
2102,hypothetical protein SCO2102
2103,"5,10-methylenetetrahydrofolate reductase"
2104,thiamine-phosphate pyrophosphorylase
2105,"transcriptional regulator, partial"
2106,oxidoreductase
2107,"oxidoreductase, partial"
2108,hypothetical protein SCO2108
2109,thiazole synthase
2110,Ser/Thr protein kinase
2111,endonuclease
2112,hypothetical protein SCO2112
2113,bacterioferritin
2114,hypothetical protein SCO2114
2115,2-dehydro-3-deoxyphosphoheptonate aldolase
2116,hypothetical protein SCO2116
2117,anthranilate synthase
2118,D-lactate dehydrogenase
2119,6-phosphofructokinase
2120,two-component system regulator
2121,two-component system sensor kinase
2122,hypothetical protein SCO2122
2123,esterase/lipase
2124,hypothetical protein SCO2124
2125,hypothetical protein SCO2125
2126,glucokinase
2127,hypothetical protein SCO2127
2128,"hypothetical protein SCO2128, partial"
2129,hypothetical protein SCO2129
2130,hypothetical protein SCO2130
2131,long chain fatty acid CoA ligase
2132,glycosyl transferase
2133,hypothetical protein SCO2133
2134,hypothetical protein SCO2134
2135,hypothetical protein SCO2135
2136,hypothetical protein SCO2136
2137,hypothetical protein SCO2137
2138,hypothetical protein SCO2138
2139,hypothetical protein SCO2139
2140,transcriptional regulator
2141,small hydrophilic protein
2142,two component sensor kinase
2143,two component system response regulator
2144,integral membrane transporter
2145,glycerate kinase
2146,aminotransferase
2147,anthranilate phosphoribosyltransferase
2148,cytochrome B subunit
2149,Rieske iron-sulfur protein
2150,cytochrome C heme-binding subunit
2151,cytochrome c oxidase subunit III
2152,response regulator
2153,hypothetical protein SCO2153
2154,hypothetical protein SCO2154
2155,cytochrome c oxidase subunit I
2156,cytochrome c oxidase subunit II
2157,aminotransferase
2158,kinase
2159,hypothetical protein SCO2159
2160,large membrane protein
2161,hypothetical protein SCO2161
2162,quinolinate synthetase
2163,
2164,integral membrane efflux protein
2165,two component system response regulator
2166,two component sensor kinase
2167,hypothetical protein SCO2167
2168,hypothetical protein SCO2168
2169,hypothetical protein SCO2169
2170,methyltransferase
2171,protease
2172,hypothetical protein SCO2172
2173,adenosylcobinamide kinase/adenosylcobinamide phosphate guanylyltransferase
2174,transferase
2175,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
2176,hypothetical protein SCO2176
2177,cobalamin (5\'-phosphate) synthase
2178,"endo alpha-1,4 polygalactosaminidase"
2179,leucyl aminopeptidase
2180,dihydrolipoamide dehydrogenase
2181,dihydrolipoamide succinyltransferase
2182,GntR family transcriptional regulator
2183,2-oxoacid dehydrogenase subunit E1
2184,transcriptional regulator
2185,hypothetical protein SCO2185
2186,hypothetical protein SCO2186
2187,hypothetical protein SCO2187
2188,peptidase
2189,acetyltransferase
2190,hypothetical protein SCO2190
2191,oxidoreductase
2192,regulator
2193,lipoyltransferase
2194,lipoyl synthase
2195,hypothetical protein SCO2195
2196,hypothetical protein SCO2196
2197,hypothetical protein SCO2197
2198,glutamine synthetase
2199,hypothetical protein SCO2199
2200,hypothetical protein SCO2200
2201,hypothetical protein SCO2201
2202,heat shock protein HtpX
2203,hypothetical protein SCO2203
2204,hypothetical protein SCO2204
2205,hypothetical protein SCO2205
2206,"hypothetical protein SCO2206, partial"
2207,hypothetical protein SCO2207
2208,carboxylesterase
2209,transcriptional regulator
2210,glutamine synthetase
2211,hypothetical protein SCO2211
2212,hypothetical protein SCO2212
2213,regulatory protein
2214,reductase
2215,two-component system sensor kinase
2216,two-component system response regulator
2217,hypothetical protein SCO2217
2218,lipoprotein
2219,hypothetical protein SCO2219
2220,hypothetical protein SCO2220
2221,hypothetical protein SCO2221
2222,iron-sulfur oxidoreductase
2223,TetR family transcriptional regulator
2224,hypothetical protein SCO2224
2225,isomerase
2226,bifunctional alpha-amylase/dextrinase
2227,acetyltransferase
2228,alpha-glucosidase
2229,maltose permease
2230,maltose permease
2231,maltose-binding protein
2232,maltose operon transcriptional repressor
2233,hypothetical protein SCO2233
2234,bifunctional glutamine-synthetase adenylyltransferase/deadenyltransferase
2235,hypothetical protein SCO2235
2236,hypothetical protein SCO2236
2237,lyase
2238,NAD(+) synthase (glutamine-hydrolysing)
2239,"hypothetical protein SCO2239, partial"
2240,hypothetical protein SCO2240
2241,glutamine synthetase
2242,hypothetical protein SCO2242
2243,TetR family transcriptional regulator
2244,Ser/Thr protein kinase
2245,hypothetical protein SCO2245
2246,hypothetical protein SCO2246
2247,hypothetical protein SCO2247
2248,hypothetical protein SCO2248
2249,hypothetical protein SCO2249
2250,hypothetical protein SCO2250
2251,hypothetical protein SCO2251
2252,hypothetical protein SCO2252
2253,hypothetical protein SCO2253
2254,transmembrane efflux protein
2255,"hypothetical protein SCO2255, partial"
2256,3-methyl-2-oxobutanoate hydroxymethyltransferase
2257,ABC transporter ATP-binding protein
2258,ABC transporter
2259,multidomain-containing protein family
2260,hypothetical protein SCO2260
2261,hypothetical protein SCO2261
2262,oxidoreductase
2263,hypothetical protein SCO2263
2264,hypothetical protein SCO2264
2265,hypothetical protein SCO2265
2266,methionine aminopeptidase
2267,heme oxygenase
2268,hypothetical protein SCO2268
2269,hypothetical protein SCO2269
2270,hypothetical protein SCO2270
2271,hypothetical protein SCO2271
2272,binding-protein-dependent transport lipoprotein
2273,FecCD-family membrane transport protein
2274,hemin importer ATP-binding subunit
2275,lipoprotein
2276,hypothetical protein SCO2276
2277,hypothetical protein SCO2277
2278,hypothetical protein SCO2278
2279,hypothetical protein SCO2279
2280,TetR family transcriptional regulator
2281,two-component system response-regulator
2282,hypothetical protein SCO2282
2283,esterase
2284,membrane transport protein
2285,oxidoreductase
2286,alkaline phosphatase
2287,oxidoreductase
2288,hypothetical protein SCO2288
2289,hypothetical protein SCO2289
2290,hypothetical protein SCO2290
2291,acetylxylan esterase
2292,"endo-1,4-beta-xylanase B"
2293,hypothetical protein SCO2293
2294,AraC family transcription regulator
2295,hypothetical protein SCO2295
2296,hypothetical protein SCO2296
2297,hypothetical protein SCO2297
2298,KHG/KDPG aldolase
2299,bifunctional RNase H/acid phosphatase
2300,hypothetical protein SCO2300
2301,hypothetical protein SCO2301
2302,hypothetical protein SCO2302
2303,hypothetical protein SCO2303
2304,dehydrogenase
2305,ABC transporter ATP-binding protein
2306,ABC transporter
2307,two-component sensor kinase
2308,two-component system response regulator
2309,transmembrane transport protein
2310,"integral membrane efflux protein, partial"
2311,hypothetical protein SCO2311
2312,hypothetical protein SCO2312
2313,hypothetical protein SCO2313
2314,hypothetical protein SCO2314
2315,hypothetical protein SCO2315
2316,hypothetical protein SCO2316
2317,methyltransferase
2318,glycosyl transferase
2319,TetR family transcriptional regulator
2320,hypothetical protein SCO2320
2321,hypothetical protein SCO2321
2322,hypothetical protein SCO2322
2323,hypothetical protein SCO2323
2324,ABC transporter ATP-binding protein
2325,hypothetical protein SCO2325
2326,hypothetical protein SCO2326
2327,hypothetical protein SCO2327
2328,dipeptidase
2329,transcriptional regulator
2330,isochorismatase
2331,MarR family transcriptional regulator
2332,hydrolase
2333,hypothetical protein SCO2333
2334,hypothetical protein SCO2334
2335,hypothetical protein SCO2335
2336,integral membrane transport protein
2337,acetyltransferase
2338,O-methyltransferase
2339,hypothetical protein SCO2339
2340,hypothetical protein SCO2340
2341,hypothetical protein SCO2341
2342,hypothetical protein SCO2342
2343,acetyltransferase
2344,integral membrane transport protein
2345,peptidodoglycan-binding membrane protein
2346,hydrolase
2347,hypothetical protein SCO2347
2348,hypothetical protein SCO2348
2349,hypothetical protein SCO2349
2350,hypothetical protein SCO2350
2351,hypothetical protein SCO2351
2352,hypothetical protein SCO2352
2353,hypothetical protein SCO2353
2354,hypothetical protein SCO2354
2355,lipoprotein
2356,hypothetical protein SCO2356
2357,hypothetical protein SCO2357
2358,two-component system response regulator
2359,two-component system sensor kinase
2360,hypothetical protein SCO2360
2361,hypothetical protein SCO2361
2362,hypothetical protein SCO2362
2363,ATP/GTP-binding protein
2364,hypothetical protein SCO2364
2365,hypothetical protein SCO2365
2366,hypothetical protein SCO2366
2367,hypothetical protein SCO2367
2368,hypothetical protein SCO2368
2369,thiol-specific antioxidant protein
2370,hypothetical protein SCO2370
2371,pyruvate dehydrogenase subunit E1
2372,small hydrophobic protein
2373,"tetracenomycin C efflux protein, partial"
2374,transcriptional regulator
2375,hypothetical protein SCO2375
2376,hypothetical protein SCO2376
2377,aldo/keto reductase
2378,MerR family transcriptional regulator
2379,acetyltransferase
2380,hypothetical protein SCO2380
2381,hypothetical protein SCO2381
2382,hypothetical protein SCO2382
2383,hypothetical protein SCO2383
2384,hypothetical protein SCO2384
2385,hypothetical protein SCO2385
2386,hypothetical protein SCO2386
2387,ACP S-malonyltransferase
2388,3-oxoacyl-ACP synthase
2389,acyl carrier protein
2390,3-oxoacyl-ACP synthase
2391,hypothetical protein SCO2391
2392,lipoprotein
2393,aldose 1-epimerase
2394,hypothetical protein SCO2394
2395,hypothetical protein SCO2395
2396,hypothetical protein SCO2396
2397,oxidoreductase
2398,MarR family transcriptonal regulator
2399,hypothetical protein SCO2399
2400,hypothetical protein SCO2400
2401,dehydratase
2402,dehydrogenase
2403,hypothetical protein SCO2403
2404,sugar-binding receptor
2405,sugar-transport ATP binding protein
2406,sugar transport permease
2407,aldose 1-epimerase
2408,aminotransferase
2409,hypothetical protein SCO2409
2410,hypothetical protein SCO2410
2411,hypothetical protein SCO2411
2412,hypothetical protein SCO2412
2413,"hypothetical protein SCO2413, partial"
2414,hypothetical protein SCO2414
2415,hypothetical protein SCO2415
2416,hypothetical protein SCO2416
2417,hypothetical protein SCO2417
2418,hypothetical protein SCO2418
2419,hypothetical protein SCO2419
2420,ABC-transporter integral membrane protein
2421,ABC-transporter integral membrane protein
2422,ABC transporter ATP-binding protein
2423,hypothetical protein SCO2423
2424,hypothetical protein SCO2424
2425,hypothetical protein SCO2425
2426,regulatory protein
2427,arabinase
2428,phosphate binding protein
2429,hypothetical protein SCO2429
2430,beta-galactosidase
2431,alpha-L-arabinofuranosidase
2432,sugar transporter membrane protein
2433,sugar transporter membrane protein
2434,sugar transporter sugar binding protein
2435,hypothetical protein SCO2435
2436,hypothetical protein SCO2436
2437,hypothetical protein SCO2437
2438,hypothetical protein SCO2438
2439,calcium-binding protein
2440,transcriptional regulator
2441,hypothetical protein SCO2441
2442,GntR family transcriptional regulator
2443,hypothetical protein SCO2443
2444,acyl-CoA synthetase
2445,acetyl CoA carboxylase subunits alpha/beta
2446,peptidase
2447,hypothetical protein SCO2447
2448,hypothetical protein SCO2448
2449,hypothetical protein SCO2449
2450,Ser/Thr protein kinase (regulator)
2451,rod shape-determining protein MreB
2452,two-component sensor histidine kinase
2453,hypothetical protein SCO2453
2454,hypothetical protein SCO2454
2455,spermidine synthase
2456,hypothetical protein SCO2456
2457,lipoprotein
2458,hypothetical protein SCO2458
2459,hypothetical protein SCO2459
2460,hypothetical protein SCO2460
2461,hypothetical protein SCO2461
2462,sugar kinase
2463,ABC transporter
2464,ABC transporter
2465,RNA polymerase principal sigma factor
2466,hypothetical protein SCO2466
2467,hypothetical protein SCO2467
2468,DNA primase
2469,reductase
2470,deoxyguanosinetriphosphate triphosphohydrolase-like protein
2471,hypothetical protein SCO2471
2472,hypothetical protein SCO2472
2473,nitrate reductase
2474,metalloproteinase
2475,LysR family transcriptional regulator
2476,dehydrogenase/reductase
2477,short chain dehydrogenase
2478,reductase
2479,hypothetical protein SCO2479
2480,hypothetical protein SCO2480
2481,hypothetical protein SCO2481
2482,dehydrogenase
2483,hypothetical protein SCO2483
2484,hypothetical protein SCO2484
2485,hypothetical protein SCO2485
2486,nitrite reductase NirB
2487,nitrite reductase large subunit NirB
2488,nitrite reductase small subunit NirC
2489,TetR family transcriptional regulator
2490,dehydrogenase
2491,oxidoreductase
2492,hypothetical protein SCO2492
2493,hypothetical protein SCO2493
2494,pyruvate phosphate dikinase
2495,hypothetical protein SCO2495
2496,hypothetical protein SCO2496
2497,hypothetical protein SCO2497
2498,efflux protein
2499,transport ATPase
2500,hypothetical protein SCO2500
2501,DNA-binding protein
2502,transporter
2503,chitinase
2504,glycyl-tRNA synthetase
2505,ABC-transporter metal-binding lipoprotein
2506,metal transport ABC transporter
2507,metal transport ABC transporter
2508,metal uptake regulation protein
2509,UDP phosphate synthetase
2510,DNA repair protein RecO
2511,hypothetical protein SCO2511
2512,hypothetical protein SCO2512
2513,hypothetical protein SCO2513
2514,hypothetical protein SCO2514
2515,lipoprotein
2516,hypothetical protein SCO2516
2517,two-component system response regulator
2518,two-component sensor kinase
2519,hypothetical protein SCO2519
2520,hypothetical protein SCO2520
2521,hypothetical protein SCO2521
2522,hypothetical protein SCO2522
2523,hypothetical protein SCO2523
2524,hypothetical protein SCO2524
2525,hypothetical protein SCO2525
2526,acetyltransferase
2527,hypothetical protein SCO2527
2528,2-isopropylmalate synthase
2529,metalloprotease
2530,hypothetical protein SCO2530
2531,beta-glucosidase
2532,PhoH-like protein
2533,metalloprotease
2534,"hypothetical protein SCO2534, partial"
2535,hypothetical protein SCO2535
2536,transmembrane transport protein
2537,DNA-binding protein
2538,hypothetical protein SCO2538
2539,GTP-binding protein Era
2540,carbohydrate kinase
2541,transmembrane transport protein
2542,glucarate dehydratase
2543,5-dehydro-4-deoxyglucarate dehydratase
2544,IclR family transcriptional regulator
2545,transmembrane efflux protein
2546,adenosine deaminase
2547,ribonuclease Z
2548,Hit-family protein
2549,protease
2550,lipoprotein
2551,hypothetical protein SCO2551
2552,16S ribosomal RNA methyltransferase RsmE
2553,oxidoreductase
2554,chaperone protein DnaJ
2555,heat-inducible transcription repressor
2556,hypothetical protein SCO2556
2557,hypothetical protein SCO2557
2558,hypothetical protein SCO2558
2559,coproporphyrinogen III oxidase
2560,hypothetical protein SCO2560
2561,long-chain fatty-acid CoA ligase
2562,GTP-binding protein LepA
2563,30S ribosomal protein S20
2564,DNA-binding protein
2565,hypothetical protein SCO2565
2566,hypothetical protein SCO2566
2567,hypothetical protein SCO2567
2568,DNA-binding protein
2569,hypothetical protein SCO2569
2570,hypothetical protein SCO2570
2571,leucyl-tRNA synthetase
2572,hypothetical protein SCO2572
2573,oxidoreductase
2574,hypothetical protein SCO2574
2575,hypothetical protein SCO2575
2576,phosphoglycerate mutase
2577,hypothetical protein SCO2577
2578,hypothetical protein SCO2578
2579,nicotinic acid mononucleotide adenylyltransferase
2580,hypothetical protein SCO2580
2581,hypothetical protein SCO2581
2582,hypothetical protein SCO2582
2583,hypothetical protein SCO2583
2584,hypothetical protein SCO2584
2585,gamma-glutamyl phosphate reductase
2586,hypothetical protein SCO2586
2587,gamma-glutamyl kinase
2588,hypothetical protein SCO2588
2589,glycosyl transferase
2590,"glycosyltransferase, partial"
2591,hypothetical protein SCO2591
2592,transferase
2593,hypothetical protein SCO2593
2594,hypothetical protein SCO2594
2595,GTPase ObgE
2596,50S ribosomal protein L27
2597,50S ribosomal protein L21
2598,dehydrogenase
2599,hypothetical protein SCO2599
2600,hypothetical protein SCO2600
2601,hypothetical protein SCO2601
2602,hypothetical protein SCO2602
2603,integrase
2604,hypothetical protein SCO2604
2605,hypothetical protein SCO2605
2606,hypothetical protein SCO2606
2607,Sfr protein
2608,penicillin binding protein
2609,rod shape-determining protein
2610,rod shape-determining protein MreC
2611,rod shape-determining protein MreB
2612,nucleoside diphosphate kinase
2613,hypothetical protein SCO2613
2614,folylpolyglutamate synthase
2615,valyl-tRNA synthetase
2616,hypothetical protein SCO2616
2617,ATP-dependent protease ATP-binding subunit ClpX
2618,ATP-dependent Clp protease proteolytic subunit
2619,ATP-dependent Clp protease proteolytic subunit
2620,trigger factor
2621,hypothetical protein SCO2621
2622,hypothetical protein SCO2622
2623,hypothetical protein SCO2623
2624,hypothetical protein SCO2624
2625,hypothetical protein SCO2625
2626,"DNA repair hydrolase (fragment), partial"
2627,ribose-5-phosphate isomerase B
2628,amino acid permease
2629,"hypothetical protein SCO2629, partial"
2630,biotin synthase
2631,amino acid permease
2632,transposase
2633,superoxide dismutase
2634,hypothetical protein SCO2634
2635,aminopeptidase
2636,hypothetical protein SCO2636
2637,serine protease
2638,hypothetical protein SCO2638
2639,RNA polymerase sigma factor
2640,aspartate-semialdehyde dehydrogenase
2641,resistance protein
2642,hypothetical protein SCO2642
2643,aminopeptidase N
2644,LysR family transcriptional regulator
2645,hypothetical protein SCO2645
2646,hypothetical protein SCO2646
2647,MarR family regulatory protein
2648,hypothetical protein SCO2648
2649,4-alpha-glucanotransferase
2650,hypothetical protein SCO2650
2651,dehydrogenase/reductase
2652,hypothetical protein SCO2652
2653,hypothetical protein SCO2653
2654,hypothetical protein SCO2654
2655,hypothetical protein SCO2655
2656,hypothetical protein SCO2656
2657,transcriptional regulator
2658,sugar-binding protein
2659,sugar transport system permease
2660,sugar transport membrane protein
2661,sugar hydrolase
2662,kinase
2663,hypothetical protein SCO2663
2664,sugar-binding protein
2665,hypothetical protein SCO2665
2666,Ser/Thr protein kinase
2667,hypothetical protein SCO2667
2668,hypothetical protein SCO2668
2669,hypothetical protein SCO2669
2670,O-methyltransferase
2671,globin
2672,hypothetical protein SCO2672
2673,hypothetical protein SCO2673
2674,ABC transporter ATP-binding protein
2675,hypothetical protein SCO2675
2676,hypothetical protein SCO2676
2677,ABC transporter ATP-binding protein
2678,hypothetical protein SCO2678
2679,lipoprotein
2680,"hypothetical protein SCO2680, partial"
2681,"ATP /GTP-binding protein, partial"
2682,hypothetical protein SCO2682
2683,single-strand DNA-binding protein
2684,ATP-binding membrane protein
2685,ATP-binding protein
2686,LuxR family transcriptional regulator
2687,GTP cyclohydrolase II
2688,riboflavin-specific deaminase
2689,hypothetical protein SCO2689
2690,membrane transport protein
2691,hypothetical protein SCO2691
2692,repetative protein
2693,oxygenase
2694,hypothetical protein SCO2694
2695,hypothetical protein SCO2695
2696,2-hydroxyacid dehydrogenase
2697,hypothetical protein SCO2697
2698,small hydrophilic protein
2699,small membrane protein
2700,tyrosinase
2701,tyrosinase co-factor
2702,hypothetical protein SCO2702
2703,hypothetical protein SCO2703
2704,hypothetical protein SCO2704
2705,hypothetical protein SCO2705
2706,transferase
2707,transferase
2708,hypothetical protein SCO2708
2709,hypothetical protein SCO2709
2710,polysaccharide deacetylase
2711,glycosyl transferase
2712,hypothetical protein SCO2712
2713,hypothetical protein SCO2713
2714,hypothetical protein SCO2714
2715,hypothetical protein SCO2715
2716,hypothetical protein SCO2716
2717,small membrane protein
2718,hypothetical protein SCO2718
2719,hypothetical protein SCO2719
2720,long-chain fatty acid ligase
2721,lipoprotein
2722,hypothetical protein SCO2722
2723,ABC transporter ATP-binding protein
2724,amino acid transporter
2725,lipoprotein
2726,methylmalonic acid semialdehyde dehydrogenase
2727,hypothetical protein SCO2727
2728,hypothetical protein SCO2728
2729,acetyltransferase
2730,"regulator, partial"
2731,cation-transporting P-type ATPase
2732,hypothetical protein SCO2732
2733,hypothetical protein SCO2733
2734,LysR family transcriptional regulator
2735,hypothetical protein SCO2735
2736,type II citrate synthase
2737,deoxyribonuclease
2738,hypothetical protein SCO2738
2739,hypothetical protein SCO2739
2740,
2741,hypothetical protein SCO2741
2742,sigma factor
2743,hypothetical protein SCO2743
2744,hypothetical protein SCO2744
2745,LacI family transcriptional regulator
2746,ABC transporter ATP-binding protein
2747,bifunctional carbohydrate binding and transport protein
2748,carbohydrate kinase
2749,D-ribose pyranase
2750,hypothetical protein SCO2750
2751,hypothetical protein SCO2751
2752,oxidoreductase
2753,LacI family transcriptional regulator
2754,hypothetical protein SCO2754
2755,acetyltransferase
2756,hypothetical protein SCO2756
2757,LysR family transcriptional regulator
2758,beta-N-acetylglucosaminidase
2759,transposase
2760,hypothetical protein SCO2760
2761,tripeptidyl aminopeptidase
2762,hypothetical protein SCO2762
2763,ABC transporter ATP-binding protein
2764,lipoprotein
2765,hypothetical protein SCO2765
2766,ribonuclease
2767,ATP/GTP-binding protein
2768,hypothetical protein SCO2768
2769,acetolactate synthase
2770,"agmatinase, partial"
2771,hypothetical protein SCO2771
2772,membrane transport protein
2773,acyl CoA thioesterase II
2774,acyl-CoA dehydrogenase
2775,TetR family transcriptional regulator
2776,acetyl/propionyl CoA carboxylase subunit beta
2777,acetyl/propionyl CoA carboxylase subunit alpha
2778,hydroxymethylglutaryl-CoA lyase
2779,acyl-CoA dehydrogenase
2780,hypothetical protein SCO2780
2781,hypothetical protein SCO2781
2782,pyridoxal-dependent decarboxylase
2783,monooxygenase
2784,aceytltranferase
2785,hypothetical protein SCO2785
2786,beta-N-acetylhexosaminidase
2787,hypothetical protein SCO2787
2788,hypothetical protein SCO2788
2789,glucosamine-fructose-6-phosphate aminotransferase
2790,hypothetical protein SCO2790
2791,hypothetical protein SCO2791
2792,AraC family transcription regulator
2793,oligoribonuclease
2794,LacI family transcriptional regulator
2795,sugar binding hypothetical protein
2796,cellobiose transport permease
2797,cellobiose transport permease
2798,cellobiose hydrolase
2799,sugar hydrolase
2800,two component system histidine kinase
2801,two component system response regulator
2802,hypothetical protein SCO2802
2803,hypothetical protein SCO2803
2804,hypothetical protein SCO2804
2805,hypothetical protein SCO2805
2806,mutase
2807,hypothetical protein SCO2807
2808,hypothetical protein SCO2808
2809,hypothetical protein SCO2809
2810,hypothetical protein SCO2810
2811,regulator
2812,drug efflux protein
2813,hypothetical protein SCO2813
2814,methyltransferase
2815,TetR family transcriptional regulator
2816,hypothetical protein SCO2816
2817,hypothetical protein SCO2817
2818,hypothetical protein SCO2818
2819,hypothetical protein SCO2819
2820,hypothetical protein SCO2820
2821,pectate lyase
2822,decarboxylase
2823,decarboxylase
2824,NAD-binding protein
2825,amidase
2826,hypothetical protein SCO2826
2827,hypothetical protein SCO2827
2828,amino acid ABC transporter substrate-binding protein
2829,amino acid ABC transporter transmembrane protein
2830,amino acid ABC transporter transmembrane protein
2831,amino acid ABC transporter ATP-binding protein
2832,IclR family transcriptional regulator
2833,chitin binding protein
2834,hypothetical protein SCO2834
2835,hypothetical protein SCO2835
2836,glycosyl transferase
2837,hypothetical protein SCO2837
2838,endoglucanase
2839,lipoprotein
2840,LysR family transcriptional regulator
2841,hypothetical protein SCO2841
2842,hypothetical protein SCO2842
2843,N-acetylglucosamine-6-phosphate deacetylase
2844,hypothetical protein SCO2844
2845,GntR family transcriptional regulator
2846,transcriptional regulator
2847,oxidoreductase
2848,hypothetical protein SCO2848
2849,hypothetical protein SCO2849
2850,"2-hydroxyhepta-2,4-diene-1,7-dioate isomerase"
2851,hypothetical protein SCO2851
2852,hypothetical protein SCO2852
2853,hypothetical protein SCO2853
2854,transmembrane efflux protein
2855,hypothetical protein SCO2855
2856,hypothetical protein SCO2856
2857,hypothetical protein SCO2857
2858,hypothetical protein SCO2858
2859,hypothetical protein SCO2859
2860,rifampin ADP-ribosyl transferase
2861,hypothetical protein SCO2861
2862,hypothetical protein SCO2862
2863,helicase
2864,"hypothetical protein SCO2864, partial"
2865,regulatory protein
2866,hypothetical protein SCO2866
2867,hypothetical protein SCO2867
2868,hypothetical protein SCO2868
2869,regulatory protein
2870,hypothetical protein SCO2870
2871,hypothetical protein SCO2871
2872,hypothetical protein SCO2872
2873,hypothetical protein SCO2873
2874,oxidoreductase
2875,MerR family transcriptional regulator
2876,acetyltransferase
2877,hypothetical protein SCO2877
2878,hypothetical protein SCO2878
2879,hypothetical protein SCO2879
2880,hypothetical protein SCO2880
2881,hypothetical protein SCO2881
2882,ATP/GTP-binding protein
2883,cytochrome P450
2884,cytochrome P450
2885,hypothetical protein SCO2885
2886,hydrolase
2887,hypothetical protein SCO2887
2888,hypothetical protein SCO2888
2889,sugar transport protein
2890,
2891,
2892,hypothetical protein SCO2892
2893,hypothetical protein SCO2893
2894,ABC transporter ATP-binding protein
2895,integral membrane transport protein
2896,hypothetical protein SCO2896
2897,penicillin-binding protein
2898,molecular chaperone
2899,GroES family molecular chaperone
2900,hypothetical protein SCO2900
2901,"hypothetical protein SCO2901, partial"
2902,deoxyribonucleotide triphosphate pyrophosphatase
2903,hypothetical protein SCO2903
2904,ribonuclease PH
2905,hypothetical protein SCO2905
2906,PTS transmembrane protein
2907,PTS transmembrane protein
2908,hypothetical protein SCO2908
2909,hypothetical protein SCO2909
2910,cysteine synthase
2911,hypothetical protein SCO2911
2912,hypothetical protein SCO2912
2913,hypothetical protein SCO2913
2914,amino acid permease
2915,hypothetical protein SCO2915
2916,ATP-dependent Clp protease adaptor protein ClpS
2917,nicotinate phosphoribosyltransferase
2918,nicotinamidase
2919,hypothetical protein SCO2919
2920,protease
2921,hypothetical protein SCO2921
2922,hypothetical protein SCO2922
2923,hypothetical protein SCO2923
2924,regulator
2925,oxidoreductase subunit
2926,hypothetical protein SCO2926
2927,4-hydroxyphenylpyruvate dioxygenase
2928,transcription regulator AsnC
2929,transposase
2930,permease membrane protein
2931,ABC transporter ATP-binding protein
2932,permease membrane protein
2933,permease binding-protein component
2934,hypothetical protein SCO2934
2935,transcriptional regulator
2936,hypothetical protein SCO2936
2937,"transmembrane transport protein, partial"
2938,oxidoreductase
2939,hypothetical protein SCO2939
2940,oxidoreductase
2941,hypothetical protein SCO2941
2942,oxidoreductase
2943,sugar hydrolase
2944,sugar transporter membrane protein
2945,sugar transporter membrane protein
2946,sugar transporter sugar-binding protein
2947,hypothetical protein SCO2947
2948,hypothetical protein SCO2948
2949,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
2950,DNA-binding protein HU (hs1)
2951,malate oxidoreductase
2952,helicase
2953,hypothetical protein SCO2953
2954,RNA polymerase sigma factor SigL
2955,hypothetical protein SCO2955
2956,hypothetical protein SCO2956
2957,hypothetical protein SCO2957
2958,bifunctional uroporphyrinogen-III synthetase/response regulator domain-containing protein
2959,nitrate extrusion protein
2960,hypothetical protein SCO2960
2961,hypothetical protein SCO2961
2962,bifunctional transferase/deacetylase
2963,hypothetical protein SCO2963
2964,LysR family transcriptional regulator
2965,transporter
2966,SsrA-binding protein
2967,carboxy-terminal processing protease
2968,cell division protein
2969,cell division ATP-binding protein
2970,hypothetical protein SCO2970
2971,hypothetical protein SCO2971
2972,peptide chain release factor 2
2973,Ser/Thr protein kinase
2974,Ser/Thr protein kinase
2975,hypothetical protein SCO2975
2976,hypothetical protein SCO2976
2977,hypothetical protein SCO2977
2978,hypothetical protein SCO2978
2979,integral membrane transport protein
