#Replicon Name,Replicon Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,COG(s),Protein name
chr,NC_003888.3,1379824,1380627,-,1096726,-,SCO1303,NP_625589.1,267,-,hypothetical protein SCO1303
chr,NC_003888.3,1380724,1381131,+,1096727,-,SCO1304,NP_625590.1,135,-,hypothetical protein SCO1304
chr,NC_003888.3,1381144,1382538,-,1096728,-,SCO1305,NP_625591.1,464,-,hypothetical protein SCO1305
chr,NC_003888.3,1382544,1383788,-,1096729,-,SCO1306,NP_625592.1,414,-,hypothetical protein SCO1306
chr,NC_003888.3,1383886,1385292,-,1096730,-,SCO1307,NP_625593.1,468,-,hypothetical protein SCO1307
chr,NC_003888.3,1385454,1386677,+,1096731,-,SCO1308,NP_625594.1,407,-,4-hydroxybenzoate 3-monooxygenase
chr,NC_003888.3,1386707,1387054,-,1096732,-,SCO1309,NP_625595.1,115,-,regulatory protein
chr,NC_003888.3,1387179,1388270,+,1096733,-,SCO1310,NP_625596.1,363,-,cation efflux system protein
chr,NC_003888.3,1388275,1388832,-,1096734,-,SCO1311,NP_625597.1,185,-,hypothetical protein SCO1311
chr,NC_003888.3,1388876,1389481,-,1096735,-,SCO1312,NP_625598.1,201,-,transcriptional regulator
chr,NC_003888.3,1389568,1390425,+,1096736,-,SCO1313,NP_625599.1,285,-,hypothetical protein SCO1313
chr,NC_003888.3,1390456,1391259,-,1096737,-,SCO1314,NP_625600.1,267,-,sugar acetyltransferase
chr,NC_003888.3,1391367,1391903,+,1096738,-,SCO1315,NP_625601.1,178,-,siderophore binding protein
chr,NC_003888.3,1391967,1392602,-,1096739,-,SCO1316,NP_625602.1,211,-,hypothetical protein SCO1316
chr,NC_003888.3,1392691,1393128,-,1096740,-,SCO1317,NP_625603.1,145,-,hypothetical protein SCO1317
chr,NC_003888.3,1393213,1394196,+,1096741,-,SCO1318,NP_625604.1,327,-,hypothetical protein SCO1318
chr,NC_003888.3,1394273,1395295,+,1096742,-,SCO1319,NP_733530.1,340,-,"hypothetical protein SCO1319, partial"
chr,NC_003888.3,1395319,1396164,-,1096743,-,SCO1320,NP_625605.1,281,-,hypothetical protein SCO1320
chr,NC_003888.3,1396238,1397416,-,1096744,-,SCO1321,NP_625606.1,392,-,elongation factor Tu
chr,NC_003888.3,1397508,1398413,-,1096745,-,SCO1322,NP_625607.1,301,-,hypothetical protein SCO1322
chr,NC_003888.3,1398463,1399239,+,1096746,-,SCO1323,NP_625608.1,258,-,hypothetical protein SCO1323
chr,NC_003888.3,1399280,1400449,-,1096747,-,SCO1324,NP_625609.1,389,-,3-ketoacyl-CoA thiolase
chr,NC_003888.3,1400584,1401057,+,1096748,-,SCO1325,NP_625610.1,157,-,hypothetical protein SCO1325
chr,NC_003888.3,1401207,1402082,+,1096749,uppP,SCO1326,NP_625611.1,291,-,UDP pyrophosphate phosphatase
chr,NC_003888.3,1402574,1403737,+,1096750,-,SCO1327,NP_625612.1,387,-,hypothetical protein SCO1327
chr,NC_003888.3,1403709,1404566,-,1096751,-,SCO1328,NP_625613.1,285,-,hypothetical protein SCO1328
chr,NC_003888.3,1404801,1405034,-,1096752,-,SCO1329,NP_625614.1,77,-,hypothetical protein SCO1329
chr,NC_003888.3,1405031,1406113,-,1096753,-,SCO1330,NP_625615.1,360,-,fatty acid CoA ligase
chr,NC_003888.3,1406138,1408480,+,1096754,-,SCO1331,NP_625616.1,780,-,multidomain-containing protein family
chr,NC_003888.3,1408850,1409722,-,1096755,-,SCO1332,NP_625617.1,290,-,hypothetical protein SCO1332
chr,NC_003888.3,1410027,1410995,+,1096756,-,SCO1333,NP_625618.1,322,-,hypothetical protein SCO1333
chr,NC_003888.3,1411647,1411826,+,1096757,-,SCO1334,NP_625619.1,59,-,hypothetical protein SCO1334
chr,NC_003888.3,1411885,1412625,-,1096758,-,SCO1335,NP_625620.1,246,-,oxidoreductase
chr,NC_003888.3,1412774,1414348,+,1096759,-,SCO1336,NP_625621.1,524,-,lipoprotein N-acyltransferase (integral membrane)
chr,NC_003888.3,1414272,1415177,-,1096760,-,SCO1337,NP_625622.1,301,-,oxidoreductase
chr,NC_003888.3,1415191,1416381,-,1096761,-,SCO1338,NP_625623.1,396,-,monooxygenase
chr,NC_003888.3,1416484,1417104,+,1096762,-,SCO1339,NP_625624.1,206,-,hypothetical protein SCO1339
chr,NC_003888.3,1417147,1417659,+,1096763,-,SCO1340,NP_625625.1,170,-,hypothetical protein SCO1340
chr,NC_003888.3,1417763,1418269,+,1096764,-,SCO1341,NP_625626.1,168,-,lipoprotein
chr,NC_003888.3,1418317,1418868,-,1096765,-,SCO1342,NP_625627.1,183,-,hypothetical protein SCO1342
chr,NC_003888.3,1418995,1419678,-,1096766,-,SCO1343,NP_625628.1,227,-,uracil-DNA glycosylase
chr,NC_003888.3,1419752,1421344,-,1096767,-,SCO1344,NP_625629.1,530,-,solute binding transport lipoprotein
chr,NC_003888.3,1421547,1422308,-,1096768,fabG,SCO1345,NP_625630.1,253,-,3-ketoacyl-ACP reductase
chr,NC_003888.3,1422352,1423113,-,1096769,-,SCO1346,NP_625631.1,253,-,3-oxoacyl-ACP reductase
chr,NC_003888.3,1423379,1424143,+,1096770,-,SCO1347,NP_625632.1,254,-,hypothetical protein SCO1347
chr,NC_003888.3,1424234,1424617,-,1096771,-,SCO1348,NP_625633.1,127,-,hypothetical protein SCO1348
chr,NC_003888.3,1424614,1425369,-,1096772,-,SCO1349,NP_625634.1,251,-,hypothetical protein SCO1349
chr,NC_003888.3,1425591,1426211,+,1096773,-,SCO1350,NP_625635.1,206,-,hypothetical protein SCO1350
chr,NC_003888.3,1426295,1429033,+,1096774,-,SCO1351,NP_625636.1,912,-,large transcriptional regulator
chr,NC_003888.3,1429057,1430469,-,1096775,-,SCO1352,NP_625637.1,470,-,Xaa-Pro aminopeptidase II
chr,NC_003888.3,1430545,1431576,+,1096776,-,SCO1353,NP_625638.1,343,-,transcriptional regulator
chr,NC_003888.3,1431662,1432225,-,1096777,-,SCO1354,NP_625639.1,187,-,hypothetical protein SCO1354
chr,NC_003888.3,1432286,1433899,-,1096778,-,SCO1355,NP_625640.1,537,-,serine protease
chr,NC_003888.3,1434218,1434715,+,1096779,-,SCO1356,NP_625641.1,165,-,iron sulfur protein
chr,NC_003888.3,1434718,1435179,+,1096780,-,SCO1357,NP_625642.1,153,-,hypothetical protein SCO1357
chr,NC_003888.3,1435312,1436223,-,1096781,-,SCO1358,NP_625643.1,303,-,LysR family transcriptional regulator
chr,NC_003888.3,1436298,1437296,+,1096782,-,SCO1359,NP_733531.1,332,-,"hypothetical protein SCO1359, partial"
chr,NC_003888.3,1437760,1439097,-,1096783,-,SCO1360,NP_625644.1,445,-,GntR family transcriptional regulator
chr,NC_003888.3,1439133,1439819,+,1096784,-,SCO1361,NP_625645.1,228,-,hypothetical protein SCO1361
chr,NC_003888.3,1439866,1440840,-,1096785,-,SCO1362,NP_625646.1,324,-,hypothetical protein SCO1362
chr,NC_003888.3,1441026,1442030,-,1096786,-,SCO1363,NP_625647.1,334,-,hypothetical protein SCO1363
chr,NC_003888.3,1442209,1442748,-,1096787,-,SCO1364,NP_625648.1,179,-,hypothetical protein SCO1364
chr,NC_003888.3,1442967,1443134,+,1096788,-,SCO1365,NP_625649.1,55,-,hypothetical protein SCO1365
chr,NC_003888.3,1443255,1443908,-,1096789,-,SCO1366,NP_625650.1,217,-,hypothetical protein SCO1366
chr,NC_003888.3,1443901,1444656,-,1096790,-,SCO1367,NP_625651.1,251,-,ABC transporter ATP-binding protein
chr,NC_003888.3,1444653,1445792,-,1096791,-,SCO1368,NP_625652.1,379,-,ABC transporter
chr,NC_003888.3,1445966,1447180,+,1096792,-,SCO1369,NP_625653.1,404,-,two component system histidine kinase
chr,NC_003888.3,1447177,1447812,+,1096793,-,SCO1370,NP_625654.1,211,-,two component system DNA binding response regulator
chr,NC_003888.3,1447950,1448759,+,1096794,-,SCO1371,NP_625655.1,269,-,oxidoreductase
chr,NC_003888.3,1448786,1449613,-,1096795,-,SCO1372,NP_625656.1,275,-,hypothetical protein SCO1372
chr,NC_003888.3,1449695,1451212,-,1096796,-,SCO1373,NP_625657.1,505,-,hypothetical protein SCO1373
chr,NC_003888.3,1451745,1452356,+,1096797,-,SCO1374,NP_625658.1,203,-,hypothetical protein SCO1374
chr,NC_003888.3,1452656,1452859,+,1096798,-,SCO1375,NP_625659.1,67,-,hypothetical protein SCO1375
chr,NC_003888.3,1453090,1454160,+,1096799,-,SCO1376,NP_625660.1,356,-,LacI family transcriptional regulator
chr,NC_003888.3,1454293,1454712,+,1096800,-,SCO1377,NP_625661.1,139,-,molibdenum binding protein
chr,NC_003888.3,1454780,1457665,-,1096801,-,SCO1378,NP_625662.1,961,-,glycine dehydrogenase
chr,NC_003888.3,1458078,1458473,+,1096802,-,SCO1379,NP_625663.1,131,-,hypothetical protein SCO1379
chr,NC_003888.3,1458383,1459822,-,1096803,-,SCO1380,NP_625664.2,479,-,DNA polymerase IV
chr,NC_003888.3,1459887,1460573,-,1096804,-,SCO1381,NP_733532.1,228,-,"hypothetical protein SCO1381, partial"
chr,NC_003888.3,1460736,1461209,-,1096805,-,SCO1382,NP_625665.1,157,-,hypothetical protein SCO1382
chr,NC_003888.3,1461293,1462033,-,1096806,-,SCO1383,NP_625666.1,246,-,hypothetical protein SCO1383
chr,NC_003888.3,1462078,1462881,-,1096807,-,SCO1384,NP_625667.1,267,-,hypothetical protein SCO1384
chr,NC_003888.3,1463072,1463926,-,1096808,-,SCO1385,NP_625668.1,284,-,hypothetical protein SCO1385
chr,NC_003888.3,1463932,1464264,-,1096809,-,SCO1386,NP_625669.1,110,-,hypothetical protein SCO1386
chr,NC_003888.3,1464261,1465166,-,1096810,-,SCO1387,NP_625670.1,301,-,membrane associated protein
chr,NC_003888.3,1465266,1467761,-,1096811,-,SCO1388,NP_625671.1,831,-,mannose-1-phosphate guanyltransferase
chr,NC_003888.3,1467874,1468521,-,1096812,-,SCO1389,NP_625672.1,215,-,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
chr,NC_003888.3,1474291,1474740,+,1096816,-,SCO1390,NP_625673.1,149,-,PTS system sugar phosphotransferase component IIA
chr,NC_003888.3,1474827,1476497,+,1096817,-,SCO1391,NP_625674.1,556,-,phosphoenolpyruvate-protein phosphotransferase
chr,NC_003888.3,1476570,1477472,-,1096818,-,SCO1392,NP_625675.1,300,-,hypothetical protein SCO1392
chr,NC_003888.3,1477596,1479572,-,1096819,-,SCO1393,NP_625676.1,658,-,acetoacetyl-CoA synthetase
chr,NC_003888.3,1479786,1482173,+,1096820,-,SCO1394,NP_625677.1,795,-,glycosyl hydrolase
chr,NC_003888.3,1482164,1482580,-,1096821,-,SCO1395,NP_625678.1,138,-,mutT-like protein
chr,NC_003888.3,1482748,1483572,-,1096822,-,SCO1396,NP_625679.1,274,-,D-alanyl-D-alanine dipeptidase
chr,NC_003888.3,1483776,1484795,+,1096823,-,SCO1397,NP_625680.1,339,-,hypothetical protein SCO1397
chr,NC_003888.3,1484800,1485507,+,1096824,-,SCO1398,NP_625681.1,236,-,"hypothetical protein SCO1398, partial"
chr,NC_003888.3,1485684,1486289,-,1096825,-,SCO1399,NP_625682.1,201,-,ATP/GTP-binding protein
chr,NC_003888.3,1486339,1486734,-,1096826,-,SCO1400,NP_625683.1,131,-,hypothetical protein SCO1400
chr,NC_003888.3,1486745,1487179,-,1096827,-,SCO1401,NP_625684.1,144,-,hypothetical protein SCO1401
chr,NC_003888.3,1487176,1490007,-,1096828,-,SCO1402,NP_625685.1,943,-,large hypothetical protein
chr,NC_003888.3,1490427,1490969,+,1096829,-,SCO1403,NP_625686.1,180,-,hypothetical protein SCO1403
chr,NC_003888.3,1491016,1494021,-,1096830,-,SCO1404,NP_625687.1,1001,-,hypothetical protein SCO1404
chr,NC_003888.3,1494024,1495871,-,1096831,-,SCO1405,NP_625688.1,615,-,HSP90 family protein
chr,NC_003888.3,1495964,1496950,-,1096832,-,SCO1406,NP_625689.1,328,-,hypothetical protein SCO1406
chr,NC_003888.3,1497056,1501717,-,1096833,-,SCO1407,NP_733533.1,1553,-,"hypothetical protein SCO1407, partial"
chr,NC_003888.3,1501823,1502704,-,1096834,-,SCO1408,NP_625690.1,293,-,hypothetical protein SCO1408
chr,NC_003888.3,1502793,1504319,-,1096835,-,SCO1409,NP_625691.1,508,-,hypothetical protein SCO1409
chr,NC_003888.3,1504428,1505123,-,1096836,-,SCO1410,NP_625692.1,231,-,GntR family transcriptional regulator
chr,NC_003888.3,1505261,1506583,+,1096837,-,SCO1411,NP_625693.1,440,-,transmembrane transport protein
chr,NC_003888.3,1506580,1507413,+,1096838,-,SCO1412,NP_625694.1,277,-,hypothetical protein SCO1412
chr,NC_003888.3,1507860,1509278,-,1096839,-,SCO1413,NP_625695.1,472,-,hypothetical protein SCO1413
chr,NC_003888.3,1509614,1510018,-,1096840,-,SCO1414,NP_625696.1,134,-,ankyrin
chr,NC_003888.3,1510276,1510470,+,1096841,-,SCO1415,NP_625697.1,64,-,hypothetical protein SCO1415
chr,NC_003888.3,1510524,1512272,+,1096842,-,SCO1416,NP_625698.1,582,-,hypothetical protein SCO1416
chr,NC_003888.3,1512639,1514141,-,1096843,-,SCO1417,NP_625699.1,500,-,GntR family transcriptional regulator
chr,NC_003888.3,1514244,1514936,+,1096844,-,SCO1418,NP_625700.1,230,-,hypothetical protein SCO1418
chr,NC_003888.3,1514933,1515700,+,1096845,-,SCO1419,NP_625701.1,255,-,phosphodiesterase
chr,NC_003888.3,1515752,1517212,+,1096846,-,SCO1420,NP_625702.1,486,-,hypothetical protein SCO1420
chr,NC_003888.3,1517384,1517758,+,1096847,-,SCO1421,NP_625703.1,124,-,hypothetical protein SCO1421
chr,NC_003888.3,1517861,1518445,-,1096848,-,SCO1422,NP_625704.1,194,-,hypothetical protein SCO1422
chr,NC_003888.3,1518492,1519400,-,1096849,-,SCO1423,NP_625705.1,302,-,glycosyl transferase
chr,NC_003888.3,1519926,1521536,-,1096850,-,SCO1424,NP_625706.1,536,-,hypothetical protein SCO1424
chr,NC_003888.3,1521620,1522117,-,1096851,-,SCO1425,NP_625707.1,165,-,transcription regulator AsnC
chr,NC_003888.3,1522328,1522765,+,1096852,-,SCO1426,NP_625708.1,145,-,hypothetical protein SCO1426
chr,NC_003888.3,1522938,1523255,+,1096853,-,SCO1427,NP_625709.1,105,-,hypothetical protein SCO1427
chr,NC_003888.3,1523218,1524393,-,1096854,-,SCO1428,NP_625710.1,391,-,acyl-CoA dehydrogenase
chr,NC_003888.3,1524785,1526038,+,1096855,-,SCO1429,NP_625711.1,417,-,chitinase
chr,NC_003888.3,1526117,1526779,-,1096856,-,SCO1430,NP_625712.1,220,-,TetR family transcriptional regulator
chr,NC_003888.3,1526862,1527104,-,1096857,-,SCO1431,NP_625713.1,80,-,hypothetical protein SCO1431
chr,NC_003888.3,1527125,1528564,-,1096858,-,SCO1432,NP_625714.1,479,-,hypothetical protein SCO1432
chr,NC_003888.3,1528839,1529303,+,1096859,-,SCO1433,NP_625715.1,154,-,hypothetical protein SCO1433
chr,NC_003888.3,1529751,1531607,+,1096860,-,SCO1434,NP_625716.1,618,-,CbxX/CfqX family protein
chr,NC_003888.3,1531792,1532835,-,1096861,-,SCO1435,NP_625717.1,347,-,hypothetical protein SCO1435
chr,NC_003888.3,1532832,1534163,-,1096862,-,SCO1436,NP_625718.1,443,-,hypothetical protein SCO1436
chr,NC_003888.3,1534368,1534838,-,1096863,-,SCO1437,NP_625719.1,156,-,hypothetical protein SCO1437
chr,NC_003888.3,1534876,1535733,-,1096864,hisG,SCO1438,NP_733534.1,285,-,ATP phosphoribosyltransferase
chr,NC_003888.3,1535782,1536054,-,1096865,hisE,SCO1439,NP_625720.1,90,-,phosphoribosyl-ATP pyrophosphatase
chr,NC_003888.3,1536089,1536574,-,1096866,ribH,SCO1440,NP_625721.1,161,-,"6,7-dimethyl-8-ribityllumazine synthase"
chr,NC_003888.3,1536596,1537885,-,1096867,-,SCO1441,NP_625722.1,429,-,"bifunctional 3,4-dihydroxy-2-butanone 4-phosphate synthase/GTP cyclohydrolase II protein"
chr,NC_003888.3,1537882,1538526,-,1096868,-,SCO1442,NP_625723.1,214,-,hypothetical protein SCO1442
chr,NC_003888.3,1538523,1539125,-,1096869,-,SCO1443,NP_625724.1,200,-,riboflavin synthase subunit alpha
chr,NC_003888.3,1539609,1541984,+,1096870,-,SCO1444,NP_625725.1,791,-,chitinase
chr,NC_003888.3,1542226,1542993,+,1096871,-,SCO1445,NP_625726.1,255,-,hypothetical protein SCO1445
chr,NC_003888.3,1543064,1543432,+,1096872,-,SCO1446,NP_625727.1,122,-,hypothetical protein SCO1446
chr,NC_003888.3,1543454,1544653,-,1096873,-,SCO1447,NP_625728.1,399,-,transcriptional regulator
chr,NC_003888.3,1544766,1545977,+,1096874,-,SCO1448,NP_625729.1,403,-,transporter
chr,NC_003888.3,1545937,1546395,-,1096875,-,SCO1449,NP_625730.1,152,-,hypothetical protein SCO1449
chr,NC_003888.3,1546564,1548000,+,1096876,-,SCO1450,NP_625731.1,478,-,uracyl permease
chr,NC_003888.3,1547982,1549133,-,1096877,-,SCO1451,NP_625732.1,383,-,endoglucanase
chr,NC_003888.3,1549307,1550002,+,1096878,-,SCO1452,NP_625733.1,231,-,hypothetical protein SCO1452
chr,NC_003888.3,1550134,1551066,+,1096879,-,SCO1453,NP_625734.1,310,-,hypothetical protein SCO1453
chr,NC_003888.3,1551086,1552783,-,1096880,-,SCO1454,NP_625735.1,565,-,amino oxidase
chr,NC_003888.3,1552848,1553636,-,1096881,-,SCO1455,NP_625736.1,262,-,hydrolase
chr,NC_003888.3,1553815,1554174,-,1096882,-,SCO1456,NP_625737.1,119,-,hypothetical protein SCO1456
chr,NC_003888.3,1554266,1555507,-,1096883,-,SCO1457,NP_625738.1,413,-,transporter
chr,NC_003888.3,1555656,1556108,-,1096884,-,SCO1458,NP_625739.1,150,-,transcription regulator AsnC
chr,NC_003888.3,1556124,1557614,-,1096885,-,SCO1459,NP_625740.1,496,-,amino acid transporter
chr,NC_003888.3,1557912,1558307,-,1096886,-,SCO1460,NP_625741.1,131,-,hypothetical protein SCO1460
chr,NC_003888.3,1558380,1559831,-,1096887,-,SCO1461,NP_625742.1,483,-,inosine 5-monophosphate dehydrogenase
chr,NC_003888.3,1559931,1560284,-,1096888,-,SCO1462,NP_625743.1,117,-,hypothetical protein SCO1462
chr,NC_003888.3,1560350,1561432,-,1096889,-,SCO1463,NP_625744.1,360,-,transcriptional regulator
chr,NC_003888.3,1561471,1562157,-,1096890,-,SCO1464,NP_625745.1,228,-,ribulose-phosphate 3-epimerase
chr,NC_003888.3,1562315,1563520,-,1096891,-,SCO1465,NP_625746.1,401,-,hypothetical protein SCO1465
chr,NC_003888.3,1563517,1564455,-,1096892,-,SCO1466,NP_625747.1,312,-,hypothetical protein SCO1466
chr,NC_003888.3,1564452,1565927,-,1096893,-,SCO1467,NP_625748.1,491,-,hypothetical protein SCO1467
chr,NC_003888.3,1565986,1568310,-,1096894,-,SCO1468,NP_625749.1,774,-,Ser/Thr protein kinase
chr,NC_003888.3,1568408,1570513,-,1096895,-,SCO1469,NP_625750.1,701,-,hypothetical protein SCO1469
chr,NC_003888.3,1570514,1570885,+,1096896,-,SCO1470,NP_625751.1,123,-,hypothetical protein SCO1470
chr,NC_003888.3,1570932,1571951,+,1096897,-,SCO1471,NP_625752.1,339,-,transposase
chr,NC_003888.3,1571971,1573398,-,1096898,-,SCO1472,NP_625753.1,475,-,Sun-family protein
chr,NC_003888.3,1573487,1574419,-,1096899,fmt,SCO1473,NP_625754.1,310,-,methionyl-tRNA formyltransferase
chr,NC_003888.3,1574728,1575279,+,1096900,-,SCO1474,NP_625755.1,183,-,hypothetical protein SCO1474
chr,NC_003888.3,1575452,1577602,-,1096901,-,SCO1475,NP_625756.1,716,-,primosome assembly protein PriA
chr,NC_003888.3,1577727,1578935,-,1096902,-,SCO1476,NP_625757.1,402,-,S-adenosylmethionine synthetase
chr,NC_003888.3,1579175,1580458,-,1096903,-,SCO1477,NP_733535.1,427,-,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase
chr,NC_003888.3,1580546,1580818,-,1096904,-,SCO1478,NP_625758.1,90,-,DNA-directed RNA polymerase subunit omega
chr,NC_003888.3,1580881,1581474,-,1096905,gmk,SCO1479,NP_625759.1,197,-,guanylate kinase
chr,NC_003888.3,1581512,1581835,-,1096906,-,SCO1480,NP_625760.1,107,-,hypothetical protein SCO1480
chr,NC_003888.3,1582059,1582895,-,1096907,pyrF,SCO1481,NP_625761.1,278,-,orotidine 5\'-phosphate decarboxylase
chr,NC_003888.3,1582901,1584007,-,1096908,-,SCO1482,NP_625762.1,368,-,dihydroorotate dehydrogenase 2
chr,NC_003888.3,1584104,1587412,-,1096909,carB,SCO1483,NP_625763.1,1102,-,carbamoyl phosphate synthase large subunit
chr,NC_003888.3,1587405,1588547,-,1096910,-,SCO1484,NP_625764.1,380,-,carbamoyl phosphate synthase small subunit
chr,NC_003888.3,1588544,1589119,-,1096911,-,SCO1485,NP_625765.1,191,-,hypothetical protein SCO1485
chr,NC_003888.3,1589116,1590402,-,1096912,pyrC,SCO1486,NP_625766.1,428,-,dihydroorotase
chr,NC_003888.3,1590407,1591387,-,1096913,pyrB,SCO1487,NP_625767.1,326,-,aspartate carbamoyltransferase catalytic subunit
chr,NC_003888.3,1591502,1592083,-,1096914,-,SCO1488,NP_625768.1,193,-,bifunctional pyrimidine regulatory protein PyrR uracil phosphoribosyltransferase
chr,NC_003888.3,1592381,1592884,+,1096915,-,SCO1489,NP_625769.1,167,-,DNA-binding protein
chr,NC_003888.3,1593088,1593516,-,1096916,nusB,SCO1490,NP_625770.1,142,-,transcription antitermination protein NusB
chr,NC_003888.3,1593519,1594085,-,1096917,-,SCO1491,NP_625771.1,188,-,elongation factor P
chr,NC_003888.3,1594150,1595256,-,1096918,-,SCO1492,NP_625772.1,368,-,peptidase
chr,NC_003888.3,1595436,1596323,-,1096919,-,SCO1493,NP_625773.1,295,-,hypothetical protein SCO1493
chr,NC_003888.3,1596490,1597581,-,1096920,aroB,SCO1494,NP_625774.1,363,-,3-dehydroquinate synthase
chr,NC_003888.3,1597578,1598093,-,1096921,aroK,SCO1495,NP_625775.1,171,-,shikimate kinase
chr,NC_003888.3,1598090,1599274,-,1096922,-,SCO1496,NP_625776.1,394,-,chorismate synthase
chr,NC_003888.3,1599480,1599845,-,1096923,-,SCO1497,NP_625777.1,121,-,hypothetical protein SCO1497
chr,NC_003888.3,1599894,1600733,-,1096924,aroE,SCO1498,NP_625778.2,279,-,shikimate 5-dehydrogenase
chr,NC_003888.3,1600714,1602462,-,1096925,-,SCO1499,NP_625779.1,582,-,hypothetical protein SCO1499
chr,NC_003888.3,1602591,1603094,-,1096926,-,SCO1500,NP_625780.1,167,-,Holliday junction resolvase-like protein
chr,NC_003888.3,1603091,1605763,-,1096927,alaS,SCO1501,NP_625781.1,890,-,alanyl-tRNA synthetase
chr,NC_003888.3,1605763,1606119,-,1096928,-,SCO1502,NP_625782.1,118,-,hypothetical protein SCO1502
chr,NC_003888.3,1606127,1606576,-,1096929,-,SCO1503,NP_625783.1,149,-,hypothetical protein SCO1503
chr,NC_003888.3,1606679,1608931,+,1096930,-,SCO1504,NP_625784.1,750,-,regulator
chr,NC_003888.3,1608976,1609590,-,1096931,rpsD,SCO1505,NP_625785.1,204,-,30S ribosomal protein S4
chr,NC_003888.3,1609885,1611240,-,1096932,-,SCO1506,NP_625786.1,451,-,recombination factor protein RarA
chr,NC_003888.3,1611310,1612032,-,1096933,-,SCO1507,NP_625787.1,240,-,hypothetical protein SCO1507
chr,NC_003888.3,1612166,1613443,-,1096934,hisS,SCO1508,NP_625788.1,425,-,histidyl-tRNA synthetase
chr,NC_003888.3,1613440,1614147,-,1096935,-,SCO1509,NP_625789.1,235,-,hydrolase
chr,NC_003888.3,1614331,1615164,+,1096936,-,SCO1510,NP_625790.1,277,-,peptidyl-prolyl cis-trans isomerase
chr,NC_003888.3,1615300,1616367,+,1096937,-,SCO1511,NP_733536.1,355,-,hypothetical protein SCO1511
chr,NC_003888.3,1616388,1616528,+,1096938,-,SCO1512,NP_625791.1,46,-,hypothetical protein SCO1512
chr,NC_003888.3,1616607,1619150,-,1096939,-,SCO1513,NP_625792.1,847,-,GTP pyrophosphokinase
chr,NC_003888.3,1619334,1619831,-,1096940,-,SCO1514,NP_625793.1,165,-,adenine phosphoribosyltransferase
chr,NC_003888.3,1619879,1621000,-,1096941,secF,SCO1515,NP_625794.1,373,-,preprotein translocase subunit SecF
chr,NC_003888.3,1621004,1622716,-,1096942,secD,SCO1516,NP_625795.1,570,-,preprotein translocase subunit SecD
chr,NC_003888.3,1622951,1623460,-,1096943,-,SCO1517,NP_625796.1,169,-,hypothetical protein SCO1517
chr,NC_003888.3,1623636,1624709,-,1096944,ruvB,SCO1518,NP_625797.1,357,-,Holliday junction DNA helicase RuvB
chr,NC_003888.3,1624756,1625361,-,1096945,ruvA,SCO1519,NP_625798.1,201,-,Holliday junction DNA helicase RuvA
chr,NC_003888.3,1625358,1625924,-,1096946,ruvC,SCO1520,NP_625799.1,188,-,Holliday junction resolvase
chr,NC_003888.3,1626033,1626785,-,1096947,-,SCO1521,NP_625800.1,250,-,hypothetical protein SCO1521
chr,NC_003888.3,1626835,1627443,-,1096948,-,SCO1522,NP_625801.1,202,-,glutamine amidotransferase subunit PdxT
chr,NC_003888.3,1627456,1628367,-,1096949,-,SCO1523,NP_625802.1,303,-,pyridoxal biosynthesis lyase PdxS
chr,NC_003888.3,1628479,1629021,-,1096950,-,SCO1524,NP_625803.1,180,-,hypothetical protein SCO1524
chr,NC_003888.3,1629081,1630244,-,1096951,-,SCO1525,NP_625804.1,387,-,sugar transferase
chr,NC_003888.3,1630241,1631176,-,1096952,-,SCO1526,NP_625805.1,311,-,lipid A biosynthesis lauroyl acyltransferase
chr,NC_003888.3,1631173,1631898,-,1096953,-,SCO1527,NP_625806.1,241,-,membrane transferase
chr,NC_003888.3,1632106,1634304,+,1096954,-,SCO1528,NP_625807.1,732,-,elongation factor G
chr,NC_003888.3,1634572,1636227,+,1096955,-,SCO1529,NP_625808.1,551,-,hypothetical protein SCO1529
chr,NC_003888.3,1636316,1636876,-,1096956,-,SCO1530,NP_625809.1,186,-,hypothetical protein SCO1530
chr,NC_003888.3,1636966,1638942,-,1096957,thrS,SCO1531,NP_625810.1,658,-,threonyl-tRNA synthetase
chr,NC_003888.3,1639131,1640408,-,1096958,-,SCO1532,NP_625811.1,425,-,hypothetical protein SCO1532
chr,NC_003888.3,1640405,1640971,-,1096959,-,SCO1533,NP_625812.1,188,-,hypothetical protein SCO1533
chr,NC_003888.3,1641143,1641868,+,1096960,-,SCO1534,NP_625813.1,241,-,DNA polymerase III subunit epsilon
chr,NC_003888.3,1642057,1642515,-,1096961,-,SCO1535,NP_625814.1,152,-,hypothetical protein SCO1535
chr,NC_003888.3,1642555,1645023,-,1096962,-,SCO1536,NP_625815.1,822,-,hypothetical protein SCO1536
chr,NC_003888.3,1645999,1646910,-,1096963,-,SCO1537,NP_625816.1,303,-,transport system membrane protein
chr,NC_003888.3,1646907,1647893,-,1096964,-,SCO1538,NP_625817.1,328,-,transport system membrane protein
chr,NC_003888.3,1647905,1649206,-,1096965,-,SCO1539,NP_625818.1,433,-,lipoprotein
chr,NC_003888.3,1649733,1650185,-,1096966,-,SCO1540,NP_625819.1,150,-,hypothetical protein SCO1540
chr,NC_003888.3,1650311,1650790,+,1096967,-,SCO1541,NP_625820.1,159,-,regulator
